"time","event","prob","method","cif_lower","cif_upper","clone"
34,"Vaginal delivery",0.795255312855212,"No weights",0.774176464983936,0.816672255207912,"window_0_8"
34,"Other modes",0.202009424818192,"No weights",0.179945699391833,0.223352050627051,"window_0_8"
34.5,"Overall survival",0.00182350821772458,"No weights",0,0.00466777360250738,"window_0_8"
34.5,"Vaginal delivery",0.795255312855212,"No weights",0.774176464983936,0.816672255207912,"window_0_8"
34.5,"Other modes",0.202921178927054,"No weights",0.181892289351191,0.223552935714678,"window_0_8"
35,"Overall survival",0.00182350821772458,"No weights",0,0.00466777360250738,"window_0_8"
35,"Vaginal delivery",0.795255312855212,"No weights",0.774176464983936,0.816672255207912,"window_0_8"
35,"Other modes",0.202921178927054,"No weights",0.181892289351191,0.223552935714678,"window_0_8"
35.5,"Overall survival",0.00182350821772458,"No weights",0,0.00466777360250738,"window_0_8"
35.5,"Vaginal delivery",0.795255312855212,"No weights",0.774176464983936,0.816672255207912,"window_0_8"
35.5,"Other modes",0.202921178927054,"No weights",0.181892289351191,0.223552935714678,"window_0_8"
36,"Overall survival",0.00182350821772458,"No weights",0,0.00466777360250738,"window_0_8"
36,"Vaginal delivery",0.795255312855212,"No weights",0.774176464983936,0.816672255207912,"window_0_8"
36,"Other modes",0.202921178927054,"No weights",0.181892289351191,0.223552935714678,"window_0_8"
36.5,"Overall survival",0.00182350821772458,"No weights",0,0.00466777360250738,"window_0_8"
36.5,"Vaginal delivery",0.795255312855212,"No weights",0.774176464983936,0.816672255207912,"window_0_8"
36.5,"Other modes",0.202921178927054,"No weights",0.181892289351191,0.223552935714678,"window_0_8"
37,"Overall survival",0.000911754108862291,"No weights",0,0.00280375683913752,"window_0_8"
37,"Vaginal delivery",0.796167066964074,"No weights",0.775955503553038,0.817529873074768,"window_0_8"
37,"Other modes",0.202921178927054,"No weights",0.181892289351191,0.223552935714678,"window_0_8"
37.5,"Overall survival",0.000911754108862291,"No weights",0,0.00280375683913752,"window_0_8"
37.5,"Vaginal delivery",0.796167066964074,"No weights",0.775955503553038,0.817529873074768,"window_0_8"
37.5,"Other modes",0.202921178927054,"No weights",0.181892289351191,0.223552935714678,"window_0_8"
