"time","event","prob","method","cif_lower","cif_upper","clone"
33.5,"Vaginal delivery",0.79434355874635,"No weights",0.772266382223093,0.813459598891215,"window_0_8"
33.5,"Other modes",0.20109767070933,"No weights",0.181438165461553,0.223574260044784,"window_0_8"
34,"Overall survival",0.00273526232658687,"No weights",0,0.00623063177716862,"window_0_8"
34,"Vaginal delivery",0.795255312855212,"No weights",0.772830132500268,0.813651950234739,"window_0_8"
34,"Other modes",0.202009424818192,"No weights",0.181740762152341,0.22437518602489,"window_0_8"
34.5,"Overall survival",0.00182350821772458,"No weights",0,0.00430352954710333,"window_0_8"
34.5,"Vaginal delivery",0.795255312855212,"No weights",0.772830132500268,0.813651950234739,"window_0_8"
34.5,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
35,"Overall survival",0.00182350821772458,"No weights",0,0.00430352954710333,"window_0_8"
35,"Vaginal delivery",0.795255312855212,"No weights",0.772830132500268,0.813651950234739,"window_0_8"
35,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
35.5,"Overall survival",0.00182350821772458,"No weights",0,0.00430352954710333,"window_0_8"
35.5,"Vaginal delivery",0.795255312855212,"No weights",0.772830132500268,0.813651950234739,"window_0_8"
35.5,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
36,"Overall survival",0.00182350821772458,"No weights",0,0.00430352954710333,"window_0_8"
36,"Vaginal delivery",0.795255312855212,"No weights",0.772830132500268,0.813651950234739,"window_0_8"
36,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
36.5,"Overall survival",0.00182350821772458,"No weights",0,0.00430352954710333,"window_0_8"
36.5,"Vaginal delivery",0.795255312855212,"No weights",0.772830132500268,0.813651950234739,"window_0_8"
36.5,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
37,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
37,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
37,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
37.5,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
37.5,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
37.5,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
38,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
38,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
38,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
38.5,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
38.5,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
38.5,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
39,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
39,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
39,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
39.5,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
39.5,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
39.5,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
40,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
40,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
40,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
40.5,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
40.5,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
40.5,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
41,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
41,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
41,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
41.5,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
41.5,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
41.5,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
42,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
42,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
42,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
42.5,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
42.5,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
42.5,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
43,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
43,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
43,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
43.5,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
43.5,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
43.5,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
44,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
44,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
44,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
44.5,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
44.5,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
44.5,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
45,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
45,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
45,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
45.5,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
45.5,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
45.5,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
46,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
46,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
46,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
46.5,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
46.5,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
46.5,"Other modes",0.202921178927054,"No weights",0.185242100690701,0.225342182577657,"window_0_8"
47,"Overall survival",0.000911754108862291,"No weights",0,0.00269369959196944,"window_0_8"
47,"Vaginal delivery",0.796167066964074,"No weights",0.773770440324245,0.814561815132746,"window_0_8"
